dry_run_version,task_id,task_type,condition,gold_decision,schema_valid,audit_pass,evidence_alignment_score,unsupported_claim_count,missed_key_evidence_count,audit_notes_summary
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,complete,decline,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,partial,decline,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,conflicted,decline,True,False,0.77,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,complete,decline,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,partial,decline,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,conflicted,decline,True,False,0.77,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,complete,review,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,partial,review,True,True,0.76,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,conflicted,review,True,True,0.77,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,complete,approve,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,partial,approve,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,conflicted,approve,True,False,0.59,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,complete,decline,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,partial,decline,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,conflicted,decline,True,False,0.77,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,complete,approve,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,partial,approve,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,conflicted,approve,True,False,0.59,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,complete,review,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,partial,review,True,True,0.76,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,conflicted,review,True,True,0.77,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,complete,review,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,partial,review,True,True,0.76,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,conflicted,review,True,True,0.77,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,complete,review,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,partial,review,True,True,0.76,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,conflicted,review,True,True,0.77,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,complete,review,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,partial,review,True,True,0.76,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,conflicted,review,True,True,0.77,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0011,synthetic_loan_risk_decision_support,complete,approve,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0011,synthetic_loan_risk_decision_support,partial,approve,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0011,synthetic_loan_risk_decision_support,conflicted,approve,True,False,0.59,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0012,synthetic_loan_risk_decision_support,complete,review,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0012,synthetic_loan_risk_decision_support,partial,review,True,True,0.76,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0012,synthetic_loan_risk_decision_support,conflicted,review,True,True,0.77,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0013,synthetic_loan_risk_decision_support,complete,decline,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0013,synthetic_loan_risk_decision_support,partial,decline,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0013,synthetic_loan_risk_decision_support,conflicted,decline,True,False,0.77,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0014,synthetic_loan_risk_decision_support,complete,decline,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0014,synthetic_loan_risk_decision_support,partial,decline,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0014,synthetic_loan_risk_decision_support,conflicted,decline,True,False,0.77,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0015,synthetic_loan_risk_decision_support,complete,approve,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0015,synthetic_loan_risk_decision_support,partial,approve,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0015,synthetic_loan_risk_decision_support,conflicted,approve,True,False,0.59,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0016,synthetic_loan_risk_decision_support,complete,decline,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0016,synthetic_loan_risk_decision_support,partial,decline,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0016,synthetic_loan_risk_decision_support,conflicted,decline,True,False,0.77,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0017,synthetic_loan_risk_decision_support,complete,approve,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0017,synthetic_loan_risk_decision_support,partial,approve,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0017,synthetic_loan_risk_decision_support,conflicted,approve,True,False,0.59,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0018,synthetic_loan_risk_decision_support,complete,review,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0018,synthetic_loan_risk_decision_support,partial,review,True,True,0.76,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0018,synthetic_loan_risk_decision_support,conflicted,review,True,True,0.77,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0019,synthetic_loan_risk_decision_support,complete,approve,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0019,synthetic_loan_risk_decision_support,partial,approve,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0019,synthetic_loan_risk_decision_support,conflicted,approve,True,False,0.59,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0020,synthetic_loan_risk_decision_support,complete,decline,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0020,synthetic_loan_risk_decision_support,partial,decline,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0020,synthetic_loan_risk_decision_support,conflicted,decline,True,False,0.77,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0021,synthetic_loan_risk_decision_support,complete,decline,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0021,synthetic_loan_risk_decision_support,partial,decline,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0021,synthetic_loan_risk_decision_support,conflicted,decline,True,False,0.77,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0022,synthetic_loan_risk_decision_support,complete,approve,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0022,synthetic_loan_risk_decision_support,partial,approve,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0022,synthetic_loan_risk_decision_support,conflicted,approve,True,False,0.59,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0023,synthetic_loan_risk_decision_support,complete,review,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0023,synthetic_loan_risk_decision_support,partial,review,True,True,0.76,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0023,synthetic_loan_risk_decision_support,conflicted,review,True,True,0.77,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence. Controlled conflict note is visible.
pilot_04_deterministic_dry_run_v1,P04-T0024,synthetic_loan_risk_decision_support,complete,approve,True,True,0.93,0,0,Audit passes because the deterministic decision is aligned with visible synthetic evidence.
pilot_04_deterministic_dry_run_v1,P04-T0024,synthetic_loan_risk_decision_support,partial,approve,True,False,0.58,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Missing required unit count: 2.
pilot_04_deterministic_dry_run_v1,P04-T0024,synthetic_loan_risk_decision_support,conflicted,approve,True,False,0.59,0,0,Audit flags evidence-state concerns in the deterministic no-call chain. Controlled conflict note is visible.
