dry_run_version,task_id,task_type,condition,gold_decision,schema_valid,decision_label,decision_matches_gold,confidence,n_primary_evidence_used,primary_evidence_used,missing_evidence_acknowledged,n_risk_flags_identified,risk_flags_identified,decision_rationale_summary
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,complete,decline,True,decline,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,3,"[""E2"", ""E3"", ""E4""]",Deterministic no-call decision uses complete synthetic evidence and selects decline.
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,partial,decline,True,review,False,0.52,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,2,"[""E3"", ""E4""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0001,synthetic_loan_risk_decision_support,conflicted,decline,True,decline,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,3,"[""E2"", ""E3"", ""E4""]",Deterministic no-call decision selects decline with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,complete,decline,True,decline,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,4,"[""E1"", ""E3"", ""E5"", ""E6""]",Deterministic no-call decision uses complete synthetic evidence and selects decline.
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,partial,decline,True,review,False,0.52,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,3,"[""E1"", ""E3"", ""E6""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0002,synthetic_loan_risk_decision_support,conflicted,decline,True,decline,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,4,"[""E1"", ""E3"", ""E5"", ""E6""]",Deterministic no-call decision selects decline with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,complete,review,True,review,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,1,"[""E4""]",Deterministic no-call decision uses complete synthetic evidence and selects review.
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,partial,review,True,review,True,0.62,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,1,"[""E4""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0003,synthetic_loan_risk_decision_support,conflicted,review,True,review,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,1,"[""E4""]",Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,complete,approve,True,approve,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,0,[],Deterministic no-call decision uses complete synthetic evidence and selects approve.
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,partial,approve,True,review,False,0.52,5,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0004,synthetic_loan_risk_decision_support,conflicted,approve,True,review,False,0.58,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,0,[],Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,complete,decline,True,decline,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,4,"[""E1"", ""E2"", ""E3"", ""E6""]",Deterministic no-call decision uses complete synthetic evidence and selects decline.
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,partial,decline,True,review,False,0.52,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,3,"[""E1"", ""E3"", ""E6""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0005,synthetic_loan_risk_decision_support,conflicted,decline,True,decline,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,4,"[""E1"", ""E2"", ""E3"", ""E6""]",Deterministic no-call decision selects decline with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,complete,approve,True,approve,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,0,[],Deterministic no-call decision uses complete synthetic evidence and selects approve.
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,partial,approve,True,review,False,0.52,5,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0006,synthetic_loan_risk_decision_support,conflicted,approve,True,review,False,0.58,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,0,[],Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,complete,review,True,review,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,1,"[""E2""]",Deterministic no-call decision uses complete synthetic evidence and selects review.
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,partial,review,True,review,True,0.62,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0007,synthetic_loan_risk_decision_support,conflicted,review,True,review,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,1,"[""E2""]",Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,complete,review,True,review,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,1,"[""E6""]",Deterministic no-call decision uses complete synthetic evidence and selects review.
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,partial,review,True,review,True,0.62,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,1,"[""E6""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0008,synthetic_loan_risk_decision_support,conflicted,review,True,review,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,1,"[""E6""]",Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,complete,review,True,review,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,1,"[""E1""]",Deterministic no-call decision uses complete synthetic evidence and selects review.
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,partial,review,True,review,True,0.62,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,1,"[""E1""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0009,synthetic_loan_risk_decision_support,conflicted,review,True,review,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,1,"[""E1""]",Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,complete,review,True,review,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,2,"[""E1"", ""E4""]",Deterministic no-call decision uses complete synthetic evidence and selects review.
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,partial,review,True,review,True,0.62,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,2,"[""E1"", ""E4""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0010,synthetic_loan_risk_decision_support,conflicted,review,True,review,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,2,"[""E1"", ""E4""]",Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0011,synthetic_loan_risk_decision_support,complete,approve,True,approve,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,0,[],Deterministic no-call decision uses complete synthetic evidence and selects approve.
pilot_04_deterministic_dry_run_v1,P04-T0011,synthetic_loan_risk_decision_support,partial,approve,True,review,False,0.52,5,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0011,synthetic_loan_risk_decision_support,conflicted,approve,True,review,False,0.58,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,0,[],Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0012,synthetic_loan_risk_decision_support,complete,review,True,review,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,2,"[""E2"", ""E5""]",Deterministic no-call decision uses complete synthetic evidence and selects review.
pilot_04_deterministic_dry_run_v1,P04-T0012,synthetic_loan_risk_decision_support,partial,review,True,review,True,0.62,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0012,synthetic_loan_risk_decision_support,conflicted,review,True,review,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,2,"[""E2"", ""E5""]",Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0013,synthetic_loan_risk_decision_support,complete,decline,True,decline,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,3,"[""E1"", ""E3"", ""E4""]",Deterministic no-call decision uses complete synthetic evidence and selects decline.
pilot_04_deterministic_dry_run_v1,P04-T0013,synthetic_loan_risk_decision_support,partial,decline,True,review,False,0.52,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,3,"[""E1"", ""E3"", ""E4""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0013,synthetic_loan_risk_decision_support,conflicted,decline,True,decline,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,3,"[""E1"", ""E3"", ""E4""]",Deterministic no-call decision selects decline with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0014,synthetic_loan_risk_decision_support,complete,decline,True,decline,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,4,"[""E2"", ""E3"", ""E4"", ""E5""]",Deterministic no-call decision uses complete synthetic evidence and selects decline.
pilot_04_deterministic_dry_run_v1,P04-T0014,synthetic_loan_risk_decision_support,partial,decline,True,review,False,0.52,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,2,"[""E3"", ""E4""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0014,synthetic_loan_risk_decision_support,conflicted,decline,True,decline,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,4,"[""E2"", ""E3"", ""E4"", ""E5""]",Deterministic no-call decision selects decline with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0015,synthetic_loan_risk_decision_support,complete,approve,True,approve,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,0,[],Deterministic no-call decision uses complete synthetic evidence and selects approve.
pilot_04_deterministic_dry_run_v1,P04-T0015,synthetic_loan_risk_decision_support,partial,approve,True,review,False,0.52,5,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0015,synthetic_loan_risk_decision_support,conflicted,approve,True,review,False,0.58,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,0,[],Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0016,synthetic_loan_risk_decision_support,complete,decline,True,decline,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,5,"[""E1"", ""E2"", ""E4"", ""E5"", ""E6""]",Deterministic no-call decision uses complete synthetic evidence and selects decline.
pilot_04_deterministic_dry_run_v1,P04-T0016,synthetic_loan_risk_decision_support,partial,decline,True,review,False,0.52,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,3,"[""E1"", ""E4"", ""E6""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0016,synthetic_loan_risk_decision_support,conflicted,decline,True,decline,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,5,"[""E1"", ""E2"", ""E4"", ""E5"", ""E6""]",Deterministic no-call decision selects decline with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0017,synthetic_loan_risk_decision_support,complete,approve,True,approve,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,0,[],Deterministic no-call decision uses complete synthetic evidence and selects approve.
pilot_04_deterministic_dry_run_v1,P04-T0017,synthetic_loan_risk_decision_support,partial,approve,True,review,False,0.52,5,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0017,synthetic_loan_risk_decision_support,conflicted,approve,True,review,False,0.58,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,0,[],Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0018,synthetic_loan_risk_decision_support,complete,review,True,review,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,1,"[""E3""]",Deterministic no-call decision uses complete synthetic evidence and selects review.
pilot_04_deterministic_dry_run_v1,P04-T0018,synthetic_loan_risk_decision_support,partial,review,True,review,True,0.62,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,1,"[""E3""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0018,synthetic_loan_risk_decision_support,conflicted,review,True,review,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,1,"[""E3""]",Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0019,synthetic_loan_risk_decision_support,complete,approve,True,approve,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,0,[],Deterministic no-call decision uses complete synthetic evidence and selects approve.
pilot_04_deterministic_dry_run_v1,P04-T0019,synthetic_loan_risk_decision_support,partial,approve,True,review,False,0.52,5,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0019,synthetic_loan_risk_decision_support,conflicted,approve,True,review,False,0.58,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,0,[],Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0020,synthetic_loan_risk_decision_support,complete,decline,True,decline,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,4,"[""E1"", ""E2"", ""E3"", ""E4""]",Deterministic no-call decision uses complete synthetic evidence and selects decline.
pilot_04_deterministic_dry_run_v1,P04-T0020,synthetic_loan_risk_decision_support,partial,decline,True,review,False,0.52,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,3,"[""E1"", ""E3"", ""E4""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0020,synthetic_loan_risk_decision_support,conflicted,decline,True,decline,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,4,"[""E1"", ""E2"", ""E3"", ""E4""]",Deterministic no-call decision selects decline with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0021,synthetic_loan_risk_decision_support,complete,decline,True,decline,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,3,"[""E1"", ""E2"", ""E4""]",Deterministic no-call decision uses complete synthetic evidence and selects decline.
pilot_04_deterministic_dry_run_v1,P04-T0021,synthetic_loan_risk_decision_support,partial,decline,True,review,False,0.52,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,2,"[""E1"", ""E4""]",Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0021,synthetic_loan_risk_decision_support,conflicted,decline,True,decline,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,3,"[""E1"", ""E2"", ""E4""]",Deterministic no-call decision selects decline with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0022,synthetic_loan_risk_decision_support,complete,approve,True,approve,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,0,[],Deterministic no-call decision uses complete synthetic evidence and selects approve.
pilot_04_deterministic_dry_run_v1,P04-T0022,synthetic_loan_risk_decision_support,partial,approve,True,review,False,0.52,5,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0022,synthetic_loan_risk_decision_support,conflicted,approve,True,review,False,0.58,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,0,[],Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0023,synthetic_loan_risk_decision_support,complete,review,True,review,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,1,"[""E5""]",Deterministic no-call decision uses complete synthetic evidence and selects review.
pilot_04_deterministic_dry_run_v1,P04-T0023,synthetic_loan_risk_decision_support,partial,review,True,review,True,0.62,5,"[""E1"", ""E3"", ""E4"", ""E6"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0023,synthetic_loan_risk_decision_support,conflicted,review,True,review,True,0.68,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,1,"[""E5""]",Deterministic no-call decision selects review with a controlled conflict note visible.
pilot_04_deterministic_dry_run_v1,P04-T0024,synthetic_loan_risk_decision_support,complete,approve,True,approve,True,0.88,7,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7""]",False,0,[],Deterministic no-call decision uses complete synthetic evidence and selects approve.
pilot_04_deterministic_dry_run_v1,P04-T0024,synthetic_loan_risk_decision_support,partial,approve,True,review,False,0.52,5,"[""E1"", ""E2"", ""E3"", ""E4"", ""E7""]",True,0,[],Deterministic no-call decision selects review while acknowledging 2 missing required evidence unit(s).
pilot_04_deterministic_dry_run_v1,P04-T0024,synthetic_loan_risk_decision_support,conflicted,approve,True,review,False,0.58,8,"[""E1"", ""E2"", ""E3"", ""E4"", ""E5"", ""E6"", ""E7"", ""E8""]",False,0,[],Deterministic no-call decision selects review with a controlled conflict note visible.
