sequence,source_heading,source_level,refinement_action,new_evidence_added,citation_status
1,Evidence-State Reliability in Multi-Stage LLM Decision Pipelines,1,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
2,Manuscript status,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
3,Abstract,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
4,Keywords,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
5,1. Introduction,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
6,2. Conceptual framing,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
7,2.1 Evidence-State Reliability,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
8,2.2 Reliability cascades,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
9,2.3 Parser validity boundary,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
10,3. Methods,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
11,Study design,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
12,Data and evidence-state boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
13,Model and execution boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
14,Pipeline stages,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
15,Metrics,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
16,Parser-validity metrics,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
17,Evidence-state and stage-success metrics,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
18,Cascade metrics,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
19,Committed main table used by this synthesis,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
20,Metric validation table used by this synthesis,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
21,Reproducibility controls,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
22,No-new-evidence rule,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
23,4. Results,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
24,Results overview,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
25,Result 1: Parser validity diverges from evidence-state reliability,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
26,Interpretation,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
27,Result 2: Audit and escalation expose downstream cascade behavior,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
28,Interpretation,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
29,Result 3: Cascade failure rate summarizes pipeline-level reliability loss,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
30,Interpretation,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
31,Result 4: Failure-family interpretation clarifies where degradation concentrates,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
32,Interpretation,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
33,Results claim boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
34,5. Contribution and novelty,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
35,One-sentence contribution,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
36,Main novelty,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
37,Why this is stronger than a normal LLM evaluation paper,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
38,What the paper contributes,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
39,Strong but safe claim,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
40,What makes the work potentially head-turning,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
41,Claim boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
42,6. Tables and figures,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
43,Recommended manuscript table sequence,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
44,Recommended manuscript figure sequence,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
45,Source caption pack,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
46,Pilot 05AS Figure Caption Pack,1,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
47,pilot_05AS_figure_01_parser_vs_evidence_state_divergence.png,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
48,pilot_05AS_figure_02_audit_escalation_interpretation.png,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
49,pilot_05AS_figure_03_cascade_failure_rate.png,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
50,pilot_05AS_figure_04_failure_family_interpretation.png,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
51,Source paper table pack,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
52,Pilot 05AS Paper Table Pack,1,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
53,Final main results table,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
54,Claim-boundary table,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
55,Limitations and validity threats,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
56,Suggested results-section callout wording,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
57,Caption discipline,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
58,7. Claim boundary and limitations,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
59,Safe central claim,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
60,Do not claim,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
61,Claim-boundary table from committed outputs,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
62,Limitations table from committed outputs,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
63,Validity threats to discuss,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
64,Internal validity,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
65,Construct validity,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
66,External validity,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
67,Reproducibility validity,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
68,Required wording discipline,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
69,8. Reproducibility statement,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
70,Repository checkpoint,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
71,Source artifacts,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
72,05AR,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
73,05AS,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
74,05AT,3,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
75,Safety boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
76,Reproduction boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
77,9. Discussion,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
78,10. Conclusion,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
79,Appendix A. Next revision roadmap,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
80,Immediate next manuscript steps,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
81,Strong paper structure,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
82,What not to do yet,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
83,Appendix B. Assembly checkpoint,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
84,Appendix C. Do-not-claim boundary,2,PRESERVED_AND_ACADEMIC_WORDING_TIGHTENED,NO,PLACEHOLDERS_ONLY_WHERE_NEEDED
85,Formal Definitions and Notation,2,NEW_EDITORIAL_STRUCTURE_FROM_COMMITTED_05AV_ONLY,NO,PLACEHOLDERS_ONLY
86,Related Work Structure,2,NEW_EDITORIAL_STRUCTURE_FROM_COMMITTED_05AV_ONLY,NO,PLACEHOLDERS_ONLY
87,Threats to Validity,2,NEW_EDITORIAL_STRUCTURE_FROM_COMMITTED_05AV_ONLY,NO,PLACEHOLDERS_ONLY
88,Claim Boundary,2,NEW_EDITORIAL_STRUCTURE_FROM_COMMITTED_05AV_ONLY,NO,PLACEHOLDERS_ONLY
